,FH,T,Q,DR,RH,P,U
0,40.0,140.0,156.0,0.0,0.0,10214.0,58.0
1,36.0261192322,98.5364685059,24.6921234131,0.731729924679,0.442997813225,10155.7324219,86.5208435059
2,34.7251815796,55.271697998,-38.5408630371,1.58093047142,-3.58982110023,10129.2236328,101.0912323
3,33.420211792,49.211807251,-52.9052505493,1.84820985794,-5.26593208313,10124.9785156,104.836883545
4,33.1300773621,48.9364471436,-55.4599723816,1.91183626652,-5.6031537056,10123.4238281,105.519439697
5,33.080997467,49.0410461426,-55.9108047485,1.92625403404,-5.65801525116,10122.9013672,105.636100769
6,33.0734138489,49.0921478271,-55.987991333,1.92941331863,-5.66595458984,10122.7568359,105.655250549
7,33.0723457336,49.1079864502,-56.0006942749,1.93008804321,-5.66693592072,10122.7207031,105.658226013
8,33.072227478,49.1121826172,-56.0026626587,1.9302290678,-5.66701030731,10122.7119141,105.658638
9,33.0722198486,49.1132049561,-56.0029373169,1.93025803566,-5.66700410843,10122.7099609,105.658691406
10,33.0722198486,49.1134490967,-56.0029792786,1.9302636385,-5.66699886322,10122.7099609,105.658691406
11,33.0722198486,49.1135101318,-56.0029678345,1.93026483059,-5.66699409485,10122.7099609,105.658683777
12,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
13,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
14,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
15,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
16,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
17,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
18,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
19,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
20,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
21,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
22,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
23,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
24,33.0722236633,49.1135253906,-56.0029678345,1.93026518822,-5.66699266434,10122.7099609,105.658683777
